#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Met" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Met" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Met" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Met">
#                            <taxonset id="TaxonSet.Met" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Met"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Met" name="distribution">
#            <parameter id="gammaShape.s:Met" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Met" name="distribution">
#            <parameter id="ucldStdev.c:Met" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Met" id="treeLikelihood.Met" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Met">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Met" shape="@gammaShape.s:Met" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Met" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Met" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Met" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Met" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Met">
#                <LogNormal S="@ucldStdev.c:Met" id="LogNormalDistributionModel.c:Met" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Met" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Met" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Met	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	indicators.alltrees51	indicators.alltrees52	indicators.alltrees53	indicators.alltrees54	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	popSizes.alltrees52	popSizes.alltrees53	popSizes.alltrees54	popSizes.alltrees55	sum(indicators.alltrees)
0	-13008.070803108585	-12897.405009255364	-110.66579385322066	-12897.405009255364	3.7251456216791334	1.0	1.0	0.1	1.0315543726253784	0.011446913953614895	0.10625171165827578	-54.79201081778146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-7495.829972896493	-7110.903601844735	-384.92637105175834	-7110.903601844735	5.202649022814987	1.0218681935556762	1.0	1.282394543972055	0.4919469229314338	1.205085864924868	1.135003445597925	-174.32080980375758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.076160854331654	47.93902302850225	1.9513592215747704	19.076160854331654	10.97160287373764	7.958276497816428	19.076160854331654	22.888274173321356	7.15268118714655	23.747342220518846	6.551595025128737	19.076160854331654	24.670353557050134	32.29139195621286	8.623627591529404	15.624637531439609	2.1074830750535347	16.932531870254927	23.882277277600732	41.72337730289027	0.3076420000995749	12.249663553583122	19.076160854331654	19.076160854331654	13.818608829935581	9.508973466783994	12.878516904370949	3.2195126029656262	10.080091994672186	0.4867109161790318	4.514340870523696	23.766407498258868	25.133798378790463	8.954223547517211	0.6255603203130969	5.575969782304436	2.8676983907922815	0.6511135068168762	7.115237564636698	13.283448883569822	15.488103980108898	19.076160854331654	14.514471856660242	19.59191161375949	5.866497430133081	12.083944894133026	0.41977623391152025	19.076160854331654	19.076160854331654	19.08925553729945	8.551026057328292	19.076160854331654	0.4023679866903042	5.3179055287098675	5.568433313888479	13.438165276305856	2
20000	-7109.965432139915	-6745.354942105273	-364.61049003464166	-6745.354942105273	5.3770556141848385	0.8690115647407072	1.0	1.1679902596906788	0.5992454588221537	0.9710174304072154	0.9872244140506543	-154.88222730499618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.737041078676462	33.29568691484771	2.2235488514971964	21.737041078676462	12.502001015115441	2.906630876841283	6.4129005888956465	28.87438182377883	6.61763643924116	27.059792444536466	7.465458656988517	21.737041078676462	28.111552046034525	3.9689224333769237	11.028290149239913	17.80407443897243	2.401449983823752	19.29440329426416	4.968602843545254	47.54325428997948	0.35055412065117786	28.24671939043239	21.737041078676462	21.737041078676462	15.746127854560635	10.835353530613217	1.3399041560699763	1.8402774507198276	11.486135781627834	4.882347202701935	2.6728390557149946	27.08151708444573	7.900719750855697	10.341194867790664	0.7128179765137662	11.034602911881263	3.2677056037589267	0.7419355054004858	3.5953690596639003	1.0078817273219607	17.64849620514666	21.737041078676462	16.539054865008406	2.241815477726982	9.039749149578876	13.769500507047127	0.47832964452671056	21.737041078676462	21.737041078676462	21.751962302278862	9.743784721272732	20.905124388010492	7.815661792401757	2.0507343074047513	6.345158473560442	15.312617295674286	1
30000	-6900.732241970245	-6519.001113082874	-381.7311288873705	-6519.001113082874	4.734503864525778	0.8690115647407072	1.0	1.1435284463497677	0.561074343925808	1.4132960076486822	1.2076261877334966	-148.33124739667556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.86648121041092	55.0435682657186	3.4643066242135365	33.86648121041092	19.478216052427193	4.528553799933251	10.179957299503544	44.98651430789758	23.209651529269028	42.159369762589264	11.631243388596278	33.86648121041092	43.798019505812356	6.183612412058898	17.18216291584313	27.738888208096917	3.741477989600443	30.060832303081547	2.704738421238338	74.07276465391939	0.5461660810822788	44.0086112930176	4.320250363693778	33.86648121041092	3.029621435447506	16.881566144374936	2.08758122879061	17.18192472014396	9.52140406666445	5.066359860933323	4.164304301178417	42.193216922680094	5.040934447571963	16.111663055501513	1.1105760218546028	17.191998249760267	5.09111106844329	1.1559413612016878	5.601613313554733	6.069193229024232	27.49649609439851	33.86648121041092	25.76797774804902	2.053348558465018	14.084000375808381	21.452990244201562	0.9533876373053903	33.86648121041092	1.6493185440770193	33.88972859430916	15.18089334177974	32.57034845383696	12.176862631913343	3.195060203359423	9.885806878872524	23.85717835510217	2
40000	-6851.039401293539	-6500.429749514586	-350.6096517789537	-6500.429749514586	4.069726245818413	0.8690115647407072	1.0	1.005642137571022	0.6124585202859897	0.7073429468045501	0.9139161465034669	-155.03803587466686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.913504526372698	64.79674736724685	11.16649801947191	16.913504526372698	9.727756873280292	2.2616378335032805	2.656954445144926	18.065275199727903	11.729601065162237	21.05511602691604	4.9191741156925195	16.913504526372698	21.87348595666899	4.055010499910636	8.581068356184849	26.583036654339686	2.6072262821521974	15.01289785808638	5.024413058419038	4.012658338309513	3.203287676890805	21.97865912550169	2.7646362088636436	6.441591247095362	1.5130451712203556	11.029541705112132	1.04257405258467	19.9116602318388	4.755153326335157	4.763001621016374	2.079725354682631	12.24704526282468	6.1087401579764755	8.046442272037575	17.95051976063655	5.468691840263408	2.5425886310831443	8.737552635277668	2.6061153203440566	9.437789844444874	13.732224149966703	5.742380794153342	9.541292738648583	1.0254776669015961	7.033792575782619	10.71399314694642	0.4761382211150847	16.913504526372698	0.8236981128143196	16.925114670643264	1.2606982166775094	16.266193484257265	12.805993619862836	1.5956681438442601	4.937142372537263	11.914686134308468	1
50000	-6808.551920693271	-6470.8740738669785	-337.67784682629286	-6470.8740738669785	2.2537672690767536	0.8690115647407072	1.0	0.8018370100219079	0.7623462840786437	0.5253293227084045	0.7447528463275684	-141.50737804222382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.013508059304524	33.01026574134883	0.5323390009159628	16.013508059304524	33.505147675481915	24.19599859257189	1.30932157720078	2.6790896493710057	11.24686389717365	7.885534092874089	2.3696062418122072	23.89133881339289	15.58974969545574	3.8392364645441983	18.871517520207433	21.547354355783455	1.554092232528705	14.214035918405878	14.242140252985251	5.0397378014249075	2.362644711858443	20.80913713004512	2.617525193708488	11.893450714477282	1.432533453114297	10.442640950599444	0.9870969063480594	18.852126778309163	4.502123495208436	2.5243765645303746	1.9690596160258131	28.591995124864773	9.469149160759258	4.677978433654367	16.995341941550052	15.108970952136929	3.8226172731752057	1.22963789701351	2.2067382151230373	3.1989595553746684	13.001509045909632	2.790407280644083	9.033584253830591	0.9709102485507948	12.497660133749829	25.07397850270651	22.291211697488368	14.92540043780682	5.738256300760067	7.471745520522077	1.1936143110753499	15.400641543460376	17.546200126220516	12.621991991502748	4.674428593393051	11.280685332736951	1
60000	-6785.892910671082	-6469.91752997813	-315.97538069295183	-6469.91752997813	1.6203814931847988	0.8690115647407072	1.0	0.6731357144181653	0.9046458636342356	0.3472401476357208	0.5931332234344499	-138.456520722323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.914211201213133	32.778627192101936	7.2682544956332515	4.304090122685935	15.771840375534346	20.361766419216202	1.0559120035195286	2.160571526915247	9.07011600340791	6.359346892174055	1.910986359587518	4.427246353618186	1.185364966387861	0.23772242593785123	13.84104912488102	14.563737209685987	2.8134679127116335	6.339372740708095	1.4853506522778244	0.791965969330702	19.672156099866772	16.781681491474508	2.1109224194261773	2.447451886490803	1.1552771258994607	8.42154450074541	10.262356037100673	15.203436118150858	3.0302778344633694	2.7119805500944705	0.6816587333581507	23.05822449016811	9.217638081303283	3.8324503053669563	6.7882508535182104	0.35204533526745374	4.841233869559865	0.9916505143182035	5.1020051174790035	4.907693023657681	22.50476766097459	1.402205347388097	7.285200377448598	1.9731731783011879	0.5042694569761988	3.0771155526102842	1.2753774302627892	16.022870171004556	4.627658943953221	6.415540778953172	2.7854697910764936	12.419960497716325	5.411577899805558	10.17909815604555	12.977931047407424	0.1407858652006504	1
70000	-6793.241220154143	-6441.597646542455	-351.64357361168817	-6441.597646542455	1.5679309062798794	0.7319991377899593	1.0	0.6827432649888555	0.9041560002336488	0.4360692195818204	0.6628344954333102	-125.05292026815957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.56836920644362	34.014248076831336	8.47238439010991	26.45466937067555	39.7750286418767	51.350370231989395	2.662906115157011	5.448748676101517	22.873939580337098	31.89685467429024	4.8193194565129485	11.165079428077929	2.989373742476584	55.77969956770222	34.90576319994696	8.10448277054522	12.131788279357242	15.987273921712783	2.026277885740402	28.966508801614033	49.61124090080456	0.46952887329362514	18.033983835212535	6.172232698715019	2.9134951710034165	12.76131055452765	0.5034744822481695	4.013688049208821	6.898404548093119	6.463882848073392	1.719076214172454	58.15057201250594	23.245975736796044	1.3995291183789758	10.954515900006607	1.7376744687833896	34.979304361640466	2.5008449661285623	25.730420266659344	12.376718628494821	5.274103971020948	6.2634738551472795	11.47054621125594	5.909672171518023	4.657721659497729	5.027225573510769	3.2163763143707893	12.586398830307434	29.263997744303087	16.179362215193926	17.087918062704126	31.32191759269608	6.0126472114113225	14.387161584911752	4.156576128454405	63.228228924044316	1
80000	-6725.327735197345	-6375.026672694482	-350.3010625028625	-6375.026672694482	1.6214160104011222	0.7319991377899593	1.0	0.729846061691607	0.9253695015559512	0.5096723918012876	0.6863406439057624	-126.6120803818261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.170444030292273	25.12060457245405	7.848584539945577	24.50688017347645	16.180380547277633	36.40149280952483	2.466843193652209	5.047571339093188	21.189790298874055	29.548371384301372	4.464485372453188	10.343023374714948	2.7692738500757046	51.67278389551412	9.427794187111981	7.507770569452564	5.123809186822369	14.810172102708647	1.8770882617436828	26.833779333942143	45.958492959326115	0.43495867117315795	13.558700175762105	11.359813151420486	2.6989820224678067	11.821728112882592	0.46640495233465507	3.718170531539826	6.390492781424845	5.98796379548474	0.6695584953824111	53.86909510610926	56.944608717829915	0.3430917696465954	10.746556608006175	1.5940042331727498	32.40386823705729	2.3167141897940655	23.835955666381764	49.80717177526183	4.8857852740181915	5.8023104007471185	10.625999425083547	5.474558224207442	4.31478560519246	33.97203504820932	2.9795628070281923	11.659694688599766	27.109364931677746	14.988117429679475	15.829778649249484	29.015765439827355	5.569951477026595	13.327871917715523	3.85053812938141	58.572897211874036	1
90000	-6673.125862191228	-6365.267232406332	-307.8586297848957	-6365.267232406332	1.7324731025010853	1.0206287610075517	1.0	0.6690357049997703	0.9477601738780537	0.554834128446715	0.6971487661988246	-123.29359481686389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.577314872989621	18.969323797241202	9.834935219991964	10.2163146219182	6.745202049515056	15.174885608331763	1.0283661572134495	2.1042081452931747	8.833501569084392	24.59014081820814	4.085550730946815	36.577037202713605	7.27246371377106	21.541110656684346	5.654304382621226	8.851686188203088	5.464145311842121	6.1739959038027035	0.7825118546031002	11.186341559191247	2.0123102645876783	0.1813235548866717	3.4404860248670293	1.8563390964421176	4.093377898006784	4.92818722420232	3.2804341984618346	11.145885476075694	0.31697461974677565	3.617501196995504	0.279122442276769	22.45669869466607	6.521233695436569	1.3555532999944795	6.572071203121715	1.69151511081132	13.50837440480282	0.9657810739048877	6.039112854598669	20.763382922756424	2.036763520332827	1.8572289695182558	15.451570318068763	7.855592847576967	30.88477617345525	14.162104516876367	2.4728615793994577	4.860639481281879	24.988893734440882	6.248176926967034	11.477038851195989	4.744159309275797	2.321975556060732	5.556061472866567	12.991506425584435	24.417597915275294	1
