#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Pro" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Pro" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Pro" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Pro">
#                            <taxonset id="TaxonSet.Pro" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Pro"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Pro" name="distribution">
#            <parameter id="gammaShape.s:Pro" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Pro" name="distribution">
#            <parameter id="ucldStdev.c:Pro" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Pro" id="treeLikelihood.Pro" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Pro">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Pro" shape="@gammaShape.s:Pro" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Pro" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Pro" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Pro" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Pro" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Pro">
#                <LogNormal S="@ucldStdev.c:Pro" id="LogNormalDistributionModel.c:Pro" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="104" id="rateCategories.c:Pro" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Pro" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Pro	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	indicators.alltrees51	indicators.alltrees52	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	popSizes.alltrees52	popSizes.alltrees53	sum(indicators.alltrees)
0	-15198.658543116984	-15094.461040705262	-104.19750241172238	-15094.461040705262	1.470178973914896	1.0	1.0	0.1	1.0201979758688267	0.011102585827022103	0.10433779993076582	-50.32371937628319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-7518.112767232418	-7170.581683587109	-347.5310836453094	-7170.581683587109	2.5259930974825293	1.0	1.0	0.9878947571101249	0.6877140112366339	1.3058422374928582	1.1998930059933235	-135.9240316515337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.97655458238901	29.539086844297458	20.438932413292143	18.78799186100138	20.467069819884742	10.35273731676526	7.628546709357239	14.007233742408303	5.427899244167928	0.4369365332534006	5.070429238185951	43.55643288593488	9.375757597909276	5.839590203637705	28.170073512771545	13.123422503438263	18.71614621533917	13.781594654354116	12.637918533553348	15.866720274962406	4.475654872819139	3.1565395919590395	7.035874306463593	24.744064140837633	7.487781023968882	30.480963403242857	25.28380957432632	2.4535657435099867	12.544373342262864	2.987344052169411	36.56945345234354	2.3872210392839954	25.512191509002417	4.595132671469342	14.14128322848715	9.589513406442522	18.701891258276273	0.879610133682959	1.267309502734283	21.197023847731476	6.299897141670414	10.362968510175476	0.1572972412292694	9.39293339270779	8.159994162784878	0.9979437688030258	35.50689670211988	7.634936566163507	2.830627954391483	11.931959228437233	6.978155769408105	1.3587768170944958	6.366844236918271	43.70401857589146	1
20000	-6908.803586873963	-6668.261536483022	-240.5420503909412	-6668.261536483022	1.2662799899199584	1.0	1.0	0.6375509153951723	0.93987735003517	0.3386773067359572	0.584806808216734	-103.64628756873778	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1789034766912065	61.246633165049396	21.834039806123144	3.8726661501715385	1.3500712321169628	0.16977798458130441	0.311419461225136	8.037149163887968	0.6587362327152744	0.09006334123531812	2.3492280474669323	7.081489105457669	1.9325737071988287	0.2296445074938855	3.2354966054267416	4.44487234977632	3.8578569996219922	2.8407248368084814	1.3176394694500957	1.0511105712840378	0.9225422947832363	0.6506402663943092	1.4502663437949208	5.1003587996438435	1.5434154073492088	6.282874512064245	3.037021016832129	2.4880749123426598	0.7581042414996659	0.6745216526542814	7.537861713104677	1.343940135584787	0.6855013667598525	0.947169600881345	2.9148654781262904	3.318165047474359	3.8549187031772134	0.18130923279420133	0.8923986827254211	0.2205929766122123	0.6927764069161286	2.1360621008120404	0.032422821242987836	1.9361140599736546	1.6312656323990358	0.2057006987127842	7.31884269342067	1.5737477755598943	6.003348620558025	2.4594695883976656	2.798625901820512	0.0505501147241327	3.4810172966390915	9.008470656017304	2
30000	-6797.729622148195	-6540.600092773759	-257.1295293744358	-6540.600092773759	1.6278107853519839	0.8965895442286467	1.0	0.5042649661927249	0.9212834522115754	0.24278830145645597	0.4896134402654356	-104.57501728121215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.24874368092365	25.405023918591784	29.14811641890848	5.169951360311692	0.7778912236077085	0.22665106887620898	0.4157403206876254	10.72947386673908	0.8794030134154684	0.12023321285082228	7.309573600445577	10.087715165503623	2.579956980281567	0.3065719811281781	3.3044061375469753	5.933838074350936	5.150181365930621	5.654970142883571	1.7590289746980026	0.8347742398803575	1.231580158710144	21.47742895055826	1.2895934253279764	2.965367447264556	0.43636817156905283	15.837440622374002	7.844167371507263	1.6153027083179414	1.5537877551227912	7.9176206006643906	10.062932591228076	1.7941399704274252	0.9151340668543401	1.2644572438307105	3.8913017955594023	0.12499229447971509	2.315874280238631	13.740993037548888	1.1913388876787876	0.29448832284729637	1.98504884090466	7.195149199737868	2.167546838877808	1.9544012161237265	5.91731939374661	0.49823457920912934	9.77054547732741	2.100929730976938	8.014380574970184	0.5747238764573673	2.8993645960195567	0.10490018036584592	4.647106001437968	12.02617352397951	3
40000	-6843.828454936027	-6512.275698379162	-331.5527565568644	-6512.275698379162	1.4133808151223846	0.7688255321861394	1.0	0.5265037453109785	0.8770137249007148	0.1576770387737174	0.45181039644980286	-95.69324969107389	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.55983116227103	54.28280240275874	150.3912548956857	15.187356414638504	4.013571086700246	30.614271493648957	2.145034267064596	4.298348190227105	6.232076113715586	0.620349648015176	0.20995560125263457	52.048102215832365	13.311425076844074	1.622380449063561	17.049258983620618	30.615952726555456	31.44833844202468	29.17711882179121	2.1405293083754384	8.0742846388293	6.716484680841184	14.591976634401323	2.5990971342673115	22.48837267149706	81.82765029188533	8.323153960248115	108.70721453960863	5.337756136720666	46.122881384549835	57.49561737856193	18.80238955132569	9.256960475019033	22.578747087177245	2.2133710024456255	4.159633867776945	60.756865242933706	12.625381703518384	70.89738344427965	14.643849322297687	25.034237645016944	17.770539219198948	24.258449080115394	31.237878990361306	10.083836884630788	2.3756771240032455	2.570667775674092	50.411648362891434	12.938488321702039	17.513370983477596	2.9653183676344477	32.82140890417389	0.8538205103620425	23.976990250257145	16.215154271983724	1
50000	-6847.995179577239	-6516.553987256032	-331.4411923212066	-6516.553987256032	1.1523847083635042	1.171663601071493	1.0	0.4363411407410329	0.9303044656236188	0.1532943917278006	0.41999566775783753	-83.70200906110537	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.144636625681066	117.36533863646864	180.72689372270492	18.250820172895246	4.823154349883712	21.79576697305719	2.577712249852797	5.165374257280964	35.265302065752316	0.7454812780538363	1.5703075179315624	62.54680063780131	15.996491995689574	1.2520224111504639	20.48828981792123	36.79154109372538	37.79182854288754	35.062477908692955	2.5722985893922514	9.702960340484744	8.07127657752779	17.535345470977205	3.123364798608315	27.024535041065228	98.33322468209857	61.93192854224139	130.6347049409103	6.414442692880971	55.4263948921247	69.09314200951422	22.595046903041816	13.577618298759923	27.13313901161664	2.659833287549639	4.998679667035964	73.01222092534971	15.172065815416005	85.19819780637891	17.59768147421796	30.083930142335067	21.355060539198004	0.249166922818382	37.538917009034805	12.117862293454667	2.8548784130234197	34.390670648857274	6.478807597422916	29.276376414393905	21.04601852449904	17.62137884177164	39.44186304561674	1.0260458877179912	28.81342383740468	19.485936631373466	1
60000	-6813.775764183693	-6497.0849719225835	-316.6907922611102	-6497.0849719225835	1.121484566322654	0.9183356129521895	1.0	0.459931896253051	0.938062417193161	0.2399879754320767	0.5157572595976851	-93.61633815648833	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.883773519483498	43.72387035400887	112.66587717706271	11.377635179936398	3.0067739471236528	13.58756936604083	9.065613774502763	3.220115222791915	51.05216303811419	0.464736046644404	0.9789360636992401	38.99192872361885	9.9722778681489	1.2313012695153054	12.77248281451528	22.935995659730413	23.5595789049666	21.85809067047549	1.6035813539730528	6.048864756411322	10.017996731425283	3.721046075921953	25.83710532969217	5.055622216884623	61.3013303457558	38.60861497008174	81.43820390404564	3.998789542104784	34.55303895647585	43.072944436068276	18.42504677561668	8.464342213241634	16.914908701974323	1.6581508391680078	3.116197140409334	45.51611409766944	9.458327249870846	53.11290141736476	10.970465871102556	18.754443838448154	13.312831191076652	0.1553316683786709	23.401912830909954	7.554324410055428	1.779742759982686	3.957253323209402	4.038914884162412	18.251011575258264	13.120173148029396	36.61717570181076	27.474801455282023	0.4033212280775489	17.962405064608557	12.147611780230248	1
70000	-6826.30193208831	-6506.305253992638	-319.99667809567205	-6506.305253992638	1.21793658253898	0.8618638457516866	1.0	0.4805729929829925	0.9021609676732706	0.1907716814001284	0.4861416434135983	-105.01729902793204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.7478532058905	29.689527285504898	98.05101078489491	9.901743612942491	2.616739265730255	11.825008102110724	7.889634521537546	2.8024061974183447	11.689900314906609	0.40445111033970543	0.8519497912278116	33.93394805594042	8.678687365680073	4.071199918002535	3.7611017078848015	19.960769082374643	20.50346194587439	19.0226884818	1.3955669327081657	5.2642141376591045	8.718475639366	3.2383569725190386	2.172138804555857	17.525774604171826	53.34940403840217	7.4877002819447895	70.87414938197202	3.480071928994529	30.070865112494342	37.485579886808274	16.03497443390948	11.399577691147565	14.720729444606421	1.1579299171542445	2.7119682292265455	39.61182485858889	8.23140573189411	46.22316712190236	9.547391760437922	16.321642551794397	11.585908594510038	0.13518225280842627	20.366248103359798	6.574387585327735	1.5488769175351371	3.443923732673524	3.514992265527808	15.883514846189968	11.41824189426382	31.86724480925259	23.910807081109322	0.34071410021234333	73.72101264786205	10.571839881938649	1
80000	-6838.554115562884	-6505.620753013375	-332.93336254950907	-6505.620753013375	1.0527688865208311	0.8618638457516866	1.0	0.4159460796260824	1.0375490954774074	0.2334126426038416	0.45827893182793167	-85.72273482304311	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.99365389563861	39.226232991492054	0.3752681912980131	18.910636801128508	4.997524455470263	21.339523905974843	9.211605942410765	6.612909288671831	6.948282783236739	0.772432447296466	1.6270783918953384	64.80803704869444	16.574808548708457	7.775295544261357	3.2937348664987303	10.820190102906725	39.158105600450696	36.330081541409406	10.812626139171558	2.0261177925600773	16.650797346442534	24.71908625932426	6.578624281755776	33.471232052982494	101.88823734116836	14.300226913822021	135.35750368243598	6.646342186137606	57.430209331497586	71.59104640848834	30.624058699994194	21.771243715275023	7.939319653129847	0.7280644545258328	5.179395488696412	75.65181065197096	15.720577126953033	88.27834363410686	18.23388536779892	31.17154577617932	22.127103872440493	0.2581749825835783	24.102866510622604	19.90605157961689	2.958090007387527	6.577305313606493	6.713034056475558	30.33479679165024	21.80688915108017	60.86098731669148	45.66555204900321	0.6507056589222505	140.79452562000182	20.190406068049786	3
90000	-6815.286279804889	-6500.948946604707	-314.3373332001819	-6500.948946604707	1.0670682020711064	0.8618638457516866	1.0	0.42604232544370324	1.060924513599565	0.2289063489623001	0.4680751450676414	-97.09254634333641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.952548545252817	15.864847145088893	3.137419025682576	11.40217735504048	3.013259721323797	12.866675977486441	39.02373983992667	7.188427624737253	2.977809391347894	0.4657385074592873	0.9810476817913174	3.795315944050289	24.231312872869722	5.600076673238386	7.607612497045982	6.524038712500351	8.121008375179422	2.6428399574200556	6.519478017008042	1.6126603027466788	10.039606092780819	8.726183227509969	5.458329776899673	23.97950593419138	6.281052373868715	8.622328544694565	81.61387051918726	4.00741514765415	34.627571732315126	12.047171277134705	18.46479059910169	13.126981639590385	4.787016519609893	0.6602743175241624	3.1229189463619105	45.61429482016368	7.38995421221948	53.227468821421546	10.994129759962062	18.794898189232267	13.341547688754371	0.1556667271975089	14.532834700869723	12.00236316398561	9.496686211726281	61.27444378802023	41.15979267206805	49.69225370414309	13.148474071877157	5.398809021670323	27.534066089593242	0.3923432831472503	84.89212545408564	12.173814836550125	1
