#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Thr" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Thr" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Thr" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Thr">
#                            <taxonset id="TaxonSet.Thr" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Thr"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Thr" name="distribution">
#            <parameter id="gammaShape.s:Thr" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Thr" name="distribution">
#            <parameter id="ucldStdev.c:Thr" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Thr" id="treeLikelihood.Thr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Thr">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Thr" shape="@gammaShape.s:Thr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Thr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Thr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Thr" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Thr" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Thr">
#                <LogNormal S="@ucldStdev.c:Thr" id="LogNormalDistributionModel.c:Thr" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Thr" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Thr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Thr	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	indicators.alltrees51	indicators.alltrees52	indicators.alltrees53	indicators.alltrees54	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	popSizes.alltrees52	popSizes.alltrees53	popSizes.alltrees54	popSizes.alltrees55	sum(indicators.alltrees)
0	-14895.06235906559	-14785.873362178854	-109.18899688673696	-14785.873362178854	2.5634793839407752	1.0	1.0	0.1	1.014898970398594	0.008127689329922345	0.0917676190606268	-53.31521385129777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-7326.80930685965	-7027.258228629142	-299.5510782305081	-7027.258228629142	3.233371661700516	0.8657676736362776	1.0	0.7064422940333992	0.9791276035857017	0.9407561848218515	0.8486594584150291	-134.54957015087777	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9.844446869240343	31.065711146034776	3.8102814686141713	9.844446869240343	8.812579860898422	9.844446869240343	0.8475650008343442	13.25331746370265	0.6510800710493005	5.150801967172901	8.335803854271557	0.8091132158709446	17.54034965264082	9.844446869240343	4.352817702273872	9.844446869240343	4.731919779337042	2.9293444595201574	0.8498404375030395	0.4599485271260641	9.844446869240343	1.5872752530942653	0.011888713215912205	1.6180490147943418	0.5119484883701836	9.844446869240343	0.12238408764189243	3.8538778412716224	2.1649098477098363	6.559933960349674	7.53481831579007	1.7944269498055612	12.309830005603223	13.726740518121884	1.6443786332544612	0.6754718544880219	3.2558608047982904	3.8611945171712554	9.844446869240343	6.098806139004921	5.776064249332994	6.966001198989124	1.13395024444281	1.468007128498036	9.844446869240343	9.844446869240343	2.2608235496576645	2.2358537348867276	4.1567241387512865	9.844446869240343	1.1255882390186807	6.739029132491605	0.36673508583718784	9.844446869240343	0.6351200537365644	5.702395575753115	2
20000	-6956.078717454088	-6537.853245394516	-418.2254720595716	-6537.853245394516	3.071181907108353	0.8657676736362776	1.0	0.49182187111004055	0.920741296825528	0.2898769099016919	0.5312402933087695	-133.64495570552938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.8034601958542	13.544699418579178	71.96864682144117	38.489782825942875	298.385149564739	103.83524053573528	16.21531081553922	119.55374085347235	5.873175399462754	46.46366053310446	17.531200074916338	7.298739503998102	158.22562332746392	1.0674349263480485	15.926888623315715	88.8034601958542	39.75814651042616	51.37761450154014	28.670658906197154	4.149041714918924	25.8316188942293	14.318278785011925	0.10724410267761995	14.595878589095214	9.124893664549283	3.919273419833014	1.1039858917285597	50.733649532826185	86.42026070649766	7.4166310990880895	67.96907406549798	16.186924905789322	102.49081289961428	123.82433176907584	55.143610656039556	1.898550586609732	206.25725067545363	34.83054336810364	37.818013745633145	55.01528886296356	52.10394230040882	21.464590667111388	10.228985613310204	13.242400952981644	88.8034601958542	88.8034601958542	20.394132526550656	15.201171060157696	37.4964171683554	88.8034601958542	4.383819391840534	74.67282554171659	3.3081944603027775	88.8034601958542	5.01319238621965	51.439401853512486	1
30000	-6894.271561609864	-6549.124815841782	-345.1467457680822	-6549.124815841782	2.024551078979366	0.8194591978776616	1.0	0.44816458841581863	1.1147243163645808	0.3212118028692568	0.5241118421262899	-117.64723168082779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.539615486152115	32.61145731083189	25.560529317222553	11.516616800290429	105.9750697021738	36.8783328170595	7.789353206920359	42.460946996135526	2.08592878445553	16.50212710249359	6.226416269751121	3.898687250636954	56.19573053571098	0.3791123348037998	5.656625788705474	31.539615486152115	12.973355908373847	18.24737687473557	10.182728867115655	1.5528888858503624	9.17440970781958	5.085308683995269	0.03808903114979592	5.18390158860178	3.240815581928709	1.391977028530254	0.39209384916378615	18.018664981584173	7.208359358742287	2.634105614262951	24.140033015016254	5.748980797660954	36.40084319448518	43.977698652880946	19.584915641505212	0.4361038842127739	73.25473988499375	12.370485818693597	13.431521805081307	19.539340615451206	18.50534091625712	7.623407181603808	3.632947098521362	4.70319774983266	31.539615486152115	31.539615486152115	7.2432211159612585	5.398878479725956	61.5739132266877	31.539615486152115	1.5569661100417629	26.52095086898664	1.1749449965266028	31.539615486152115	1.7804954882473683	0.27867722668082023	1
40000	-6840.170071526654	-6526.431855873855	-313.7382156527994	-6526.431855873855	1.474360929971703	0.8194591978776616	1.0	0.4407330401765506	1.0132047871037158	0.3167942080985423	0.5080032862328459	-119.4483764871752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.541374224896558	23.17611100378101	14.215988471283099	5.633972852699248	58.940108416081465	20.7972934121069	2.8075692468164086	7.416857414078873	1.1601301046515102	19.586271292783497	9.955090468361268	2.1683311922202315	56.704564795381145	0.2108507423303106	3.146043104217596	12.217900169171761	7.215385712025448	10.14863565863691	1.6837735646513718	3.2452362113262274	6.355843347158862	0.438959636871553	1.5124980298529551	2.883128291485506	1.8024429924152816	12.859539938938147	0.21807066552482018	10.021433064514762	4.009070088845913	1.0944735161441776	12.192373543341882	11.459355343972673	4.870967866238917	24.45905752905011	10.892534012708918	0.24254770757322638	3.066022303150897	6.880087716502288	7.470203639490656	5.487444331441581	2.6282949744472406	4.239907055937002	2.02053460741763	2.6157754465880867	17.541374224896558	17.541374224896558	4.028459137193193	14.138415692056705	34.245536534041285	17.541374224896558	0.7227305162712346	14.750145707935106	1.5435904577512836	17.541374224896558	2.8317181240587135	5.406837283916295	1
50000	-6858.742407272346	-6517.759559805896	-340.9828474664502	-6517.759559805896	2.4632334764421158	0.8528498309439544	1.0	0.3953829911303676	0.9580622902280829	0.21047036422167006	0.4400281293961326	-130.9033312641952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20.327480592100887	73.61551718386778	16.473921942637393	6.5288199402941975	68.30159909727848	24.100539261217648	3.2534970546742557	2.27101192086707	1.3443942238655837	22.69716981527014	11.536263105373422	6.432580170689705	65.71098282172561	0.24434028472331573	3.064656393250379	27.985235992864958	7.993207162867125	4.393665393765475	1.9512082701231546	33.8277025434538	7.365345532759546	0.5086798437124599	4.169240424396666	3.3410571850481254	13.759938385685304	14.902027924420098	0.9914117527193583	11.466940074455731	4.645832953482191	1.2683093623538715	27.624903896680525	29.478314578184634	5.644626441250364	28.343903439285814	12.622601336894125	0.28107169684320427	3.5530003557982908	7.972855931130834	8.656700299185555	27.199444975815844	3.0457485484554567	4.9133338863237945	2.7380759776530006	3.031240536921329	1.0006705703618952	20.327480592100887	4.668301575320226	16.3840282351101	39.68477442741018	21.234242996943177	0.9917567617735156	17.092919674625964	1.7887598012450698	7.129634290816413	6.410476467552956	23.42756314029384	2
60000	-6876.925174344141	-6509.947545694236	-366.9776286499042	-6509.947545694236	2.4124306197269725	0.7370834186420645	1.0	0.46529760575022266	0.9933140347535667	0.33289287236816834	0.5220795101243034	-134.49603700718455	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	36.13080811179756	36.52782875356684	16.64123616149041	11.604563555746951	33.638274169409	42.83718070680504	11.194790932295122	4.036579720771609	2.389575506370032	40.342780481860665	2.828496029418145	8.919035509284269	19.96718643642011	0.4342993663833916	6.650440467779317	6.089841963534026	26.772205457595582	23.948940145655968	17.362055596605245	16.8972146392338	13.091434765636002	11.165555323041533	1.8879516282392523	19.307278296156202	11.696917705921043	27.135443458391368	1.7621715408845915	21.249046758860988	8.097792900327313	3.776950611470722	5.727348942497627	15.448064605195254	7.311814096058606	50.37949152941795	22.4358736789184	9.931110421031235	6.315232893464485	3.4490780880902316	2.7127633762091743	48.345289162420066	31.915821250820276	6.967629495573977	4.8667564726415815	16.947046507905736	2.9093162850505268	36.13080811179756	12.240008198332491	22.851107866835445	17.93497506115532	58.750763282980536	72.06158395795067	17.814259407783027	0.8194078984056823	2.4890649042603203	3.9561280472637796	26.149071369524844	3
70000	-6982.213750707928	-6521.28785402347	-460.92589668445856	-6521.28785402347	3.6211669503362436	0.6552649285292733	1.0	0.42785118474235984	0.8811944084729101	0.19268525981873857	0.4480958141788952	-151.9503282754272	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.046871086752	142.19369623327603	62.20029365717901	43.37461796264845	125.73047525758739	160.1134190724855	41.84300232640393	15.087607769405091	66.90956247791438	150.79004760029213	18.798504749691926	3.5493133362717555	35.50829207197325	1.6232897521571106	24.85748931336675	22.762128653290077	100.06702778284657	89.51445045201449	30.321290027415177	63.157069724235846	48.932127332025836	41.7337277831445	7.056635970275992	72.16521465639951	43.719811985829345	125.8767771008615	6.586505128206086	131.20160172040173	122.12060239128841	14.117186661035886	21.40723096790547	197.19258531593138	27.329519245330747	66.55978205515075	118.54259310291711	37.119717461824024	23.60457700828558	12.891690728012605	140.96855566772828	180.701190323979	119.29242724798031	253.23964784545225	18.19057663857894	63.34332733363472	11.510369142632902	135.046871086752	45.749732586835265	80.27655054508384	67.03592838370798	201.89575423848137	269.346077424128	66.584726981606	3.326350641402367	122.97252115143155	105.77226548752168	97.7379265736775	1
80000	-6800.981589289388	-6511.513228528673	-289.46836076071526	-6511.513228528673	2.551303126307143	0.7549241537299097	1.0	0.6989214435491048	0.8868439404378652	0.5748968374836158	0.7164278456291691	-127.93893351270921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.776103016753877	38.159264227834065	4.042123896799381	2.818725917078194	35.47479590110953	0.25216235214938637	2.719192943840198	0.9804773631194825	4.348158594025443	6.352343772502518	4.579710303949719	5.264585757311769	2.7195135203883503	0.1054904713921151	0.13340388415151486	1.9397895728529364	6.502916634317969	5.817150981234807	1.9704474656841713	4.699488049629028	3.1798840420294923	2.197002282125284	3.7471129579474383	1.9801584682685454	2.84115856052876	4.667326014922206	9.662280215543623	8.526215849323092	2.3454999552651463	2.2620568896956508	0.7783121181352577	12.814680036244175	1.5687820751670425	4.325427900609776	7.703562478511921	2.4122474054841176	1.890927426830069	7.612350302829968	9.160927289224334	11.742976707061665	7.752290906276279	16.456932467472647	0.987799508186539	4.11640463514948	0.5699862859636632	8.776103016753877	0.4721389779075058	5.216820439777057	4.3563705592351925	13.120318327878342	1.864974205619918	4.327048961820263	0.2417940909481043	7.991444045835281	6.873674974947224	6.351558576307256	1
90000	-6846.911217327201	-6530.728206259757	-316.1830110674432	-6530.728206259757	1.9870427204876515	0.8056280183537203	1.0	0.6288074391817311	0.9376075973993161	0.3900325029141868	0.6205407311028298	-114.14645917191973	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.426927216697038	66.48383326462437	48.818005420254366	12.260106460863973	40.465078011587245	0.5294579269383458	5.709410015885719	2.058679686568272	27.367372306047056	13.337830712319828	9.61588398442174	9.140944810550282	1.9872115497427256	7.9414268101367576	4.677679458540797	4.07291951865557	9.743969708634875	1.209944935628803	2.4683667807624445	9.867377819168116	6.676709661241794	3.013928422044874	40.21779403042913	4.1576809094712655	1.0767882341253676	9.799848134118605	12.381458294469391	17.90224642867037	4.924777760690352	4.749574792692844	1.1260044708307346	3.6718373321152953	16.318910725379332	10.103285311510644	12.445334306771441	5.064925432696603	7.921377788593286	9.875623397384793	19.234931503621915	15.217815907814126	17.919488651700743	34.55414051194488	3.6434735378309355	13.15093348605188	1.1967835593904403	18.426927216697038	0.5992678323957004	10.953605531160452	9.146944044610903	27.54834924181824	3.9158318769014238	9.085378342794197	1.1996854991331325	0.9109833647192968	6.514579539924675	13.33618205879864	1
