#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Tyr" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Tyr" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Tyr" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Tyr">
#                            <taxonset id="TaxonSet.Tyr" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Tyr"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Tyr" name="distribution">
#            <parameter id="gammaShape.s:Tyr" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Tyr" name="distribution">
#            <parameter id="ucldStdev.c:Tyr" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Tyr" id="treeLikelihood.Tyr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Tyr">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Tyr" shape="@gammaShape.s:Tyr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Tyr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Tyr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Tyr" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Tyr" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Tyr">
#                <LogNormal S="@ucldStdev.c:Tyr" id="LogNormalDistributionModel.c:Tyr" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="106" id="rateCategories.c:Tyr" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Tyr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Tyr	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	indicators.alltrees51	indicators.alltrees52	indicators.alltrees53	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	popSizes.alltrees52	popSizes.alltrees53	popSizes.alltrees54	sum(indicators.alltrees)
0	-16269.393663986888	-16160.393593833287	-109.00007015360052	-16160.393593833287	1.1750377653157236	1.0	1.0	0.1	0.9699269494158373	0.011352349593330634	0.10601292594614338	-53.90498366262186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.2213034555394513	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-8614.455236625217	-8316.237811947542	-298.2174246776765	-8316.237811947542	2.0671969122822302	1.0	1.0	1.0649636951991914	0.7667818543990579	2.254951066252908	1.3570453839723238	-159.80861311286787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7.0755069249668905	14.951135802367087	1.491816045708848	2.2340623446807233	0.3551884238430751	4.027152041237413	1.4467754308892276	7.056722226234716	0.7682837515929168	6.669784597784519	1.201642884548404	1.5088403704860356	5.869506601284886	1.6299322583148277	8.877998908454448	1.742174437705596	0.08215874248992905	2.3820097171764387	0.609930056638679	0.08710933996708696	4.069414995526922	7.094638551002398	1.6549716096125586	0.44693649572379623	7.0755069249668905	3.366762779510067	0.45048291424476083	0.12273345432059266	1.4424787502344878	5.888147400006399	0.6825417689190029	2.432654126848368	9.559930132097943	2.3562495692128556	0.6184675640700329	9.879974689039898	7.428325224462217	1.5552313938390065	2.549606554587362	2.6653848262325543	3.3161648820545877	9.82567996852698	6.814205700319067	1.6782170568013548	2.3303442427062073	2.0101238613553116	2.085222358331617	2.2733242456769713	1.438814063524695	0.23917815568719436	2.1441567615073915	7.0755069249668905	2.626414898352484	1.2027887541089175	4.128389441560643	1
20000	-7686.721343309452	-7383.85078003053	-302.87056327892265	-7383.85078003053	1.567756707850572	1.280002234342135	1.0	0.7849613520886336	0.8516561514058325	0.735189319282236	0.8572000094977916	-139.91025628731092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9.698116887670174	44.8322602772579	2.044773122210467	1.0939359640200133	1.862577596274039	0.7111052644050518	1.9830377367680645	3.3680500782729457	1.0530560855723752	1.5584346729098326	0.5388610026393825	7.009486269260061	12.244887421184556	12.026069925184036	7.499085922837922	0.9235581033006192	0.11261173177567833	8.319465268419124	2.5180468777968708	0.11939731950902757	5.577785833520693	10.451027971351682	1.5668500773847607	0.6125981393079288	9.074215044910805	2.5664898470468773	0.6174590746039638	0.16822588100769975	11.224313692577097	8.070650250598192	1.8996934598651556	10.752717423380343	13.103417301719317	2.596223029294952	0.8477089756522143	13.542089690199852	10.181710946004138	4.408253086579469	1.5524558381771727	6.012905606696775	4.545335759826548	8.087649864315859	4.7055926893409215	9.705007614616797	0.729889827036211	4.413159570204965	6.693082087992801	0.8360335668393329	0.6630002238958056	0.8908688226060929	26.899384545002018	9.698116887670174	5.449385593819313	3.33230306302064	5.658619769108043	2
30000	-7422.696796845724	-7111.489851474282	-311.20694537144243	-7111.489851474282	1.671642843646171	1.2670128759631925	1.0	0.7208332462644412	0.920071609512633	0.5242843179544611	0.7277509678695294	-130.6751635759447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14.729072508420739	37.228021912119274	3.105511299683159	9.92044602206984	1.865477859051573	1.079995335368441	24.9082619029178	5.115246020384062	6.823374935311208	0.7798301413932504	0.818398341839586	12.38704654252728	4.072416511800988	10.458838202569298	6.91407716840905	7.6121078157457305	0.17102973513667988	27.34012754279156	6.33824383609175	0.18133538672805394	1.9291246861037579	6.009772616068363	2.1258742825794026	6.570958494432414	2.8536486597657373	14.870870721469915	0.9377696295233027	1.5184450292294258	17.04699295235492	12.257347906612218	1.4659603500969043	3.6274024784705095	19.900892697065032	0.8107477249258256	0.4247546018910291	1.5775776887377595	2.3788530478981085	0.11936511891544975	11.458334168359265	9.132136031472658	8.62458726793214	12.283166170710583	5.131413855669972	4.399483188275627	1.1085245012093978	6.702512256108251	10.165158094164918	1.2697309351989459	0.1993071100629407	0.28415146839619937	40.85359972294662	14.729072508420739	8.276286671668514	5.060955029080355	1.6701352052043796	2
40000	-7326.512457741073	-7104.264362135657	-222.2480956054158	-7104.264362135657	1.307134071569639	1.121558444606348	1.0	0.5838057361217907	1.0065942444871478	0.29702411762433173	0.5498840371575456	-118.01636957479003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.7318373798436	12.483877253103214	0.7868291194206968	1.8241017564880664	0.47264754801765185	0.935431369491787	0.4449183563692867	2.6260609683199654	1.7288071347143164	3.3381666261168657	0.21991304452780747	1.4261494301184297	1.0318094473594728	0.39681303004256646	1.2137446839955313	2.7349098245745904	0.31363325214855053	1.4838162171374607	2.360383033759262	0.045944113187932435	0.4887734519512494	1.1623135264387254	4.22291999571719	1.664853541654058	0.24116771482710153	3.0424161072825546	0.23759837933694677	1.7723271647956294	0.6644012887135414	2.650913280920288	3.3465638251216014	1.7879588998745066	0.6465889006712411	0.48769605714742137	0.16519952765152088	0.39970360557822215	6.551881389226543	0.030242991360350968	0.9926076492820034	2.787635705543288	2.1851720217815207	3.1121293368935286	1.9597937667495964	0.12366451582367553	3.6991957428938087	0.9403386656569486	3.5350875306852214	2.2980917937672305	0.22732468332211964	0.5972408288347778	10.350888724330614	1.1412659046915434	1.2848768403311728	0.7948326008881127	0.4231544779626275	2
50000	-7401.306805428702	-7106.299874719593	-295.00693070910853	-7106.299874719593	1.1724147602865684	1.2657809985943602	1.0	0.3661435037292133	0.9744311345903508	0.14270016550307116	0.36877027777731086	-118.21759523861891	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.789321223438929	2.7300767550452045	2.9073719916761984	5.189514988959268	30.56971274715601	3.4564645571303614	2.2056916494465573	9.703423423562127	6.388026724505302	19.409979605743292	18.575933952016285	4.034011666506831	3.812586257875754	1.4662435095530304	3.1363358141578397	1.2878544527451548	1.6081517135127563	5.482773329076299	1.1869874773559772	0.1697657401944424	8.444915284986026	3.9423151008334476	15.603895452772402	12.544624607220202	0.8911264747053346	2.2156283857001933	0.8779376058940063	6.548835359331207	19.799480725186505	9.795253931354921	12.365716638294746	7.56258424059134	2.389177540003004	1.8020607295841662	0.6104203160220961	1.4769243272105912	24.20952144964645	7.890802343522523	0.9629807793719288	10.300449962070747	35.59914058529133	11.49946976443849	2.2320424052108296	0.4569464205069878	3.5137017623609483	3.4745972559251865	4.790132674077329	8.491561319462804	2.0887123987619765	9.528006398514474	7.827764610688584	4.217033208936313	4.747682624001779	0.7921016529553423	1.5635764450185734	3
60000	-7393.357616420892	-7077.639349411468	-315.7182670094232	-7077.639349411468	1.375351673797662	1.3009726798097776	1.0	0.2965426152859424	0.9492253538293024	0.10180533316474268	0.3277654655609251	-120.24103650584888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.623972269840383	17.9287563798998	4.348405433656774	6.655408496842467	0.5391193199308324	0.08935109882316726	3.2989385537469897	14.512906934816913	9.55424011743634	3.0641649271362104	27.783060565850413	36.04501067063975	5.702287442919856	2.192984338522329	4.690854742737438	1.6267943313869102	4.465534824804763	7.472277341225567	1.775315580873261	0.253909809004067	4.898866990758007	0.6669832000281686	23.33793679216424	17.657736643501465	12.15016360763368	3.313800414575888	1.3130857237432914	55.473850843069016	29.613055988527332	17.795487374645848	18.49476075815807	11.31096485018935	3.5733688797525076	1.0951837818575674	0.9129739939039048	2.208959083299058	1.3122505094207606	11.801863636549198	0.7985821952300222	12.348340252546167	53.24378744714571	28.632412541694006	0.4054216486213973	1.4204024687780705	5.255261411145006	5.196774829877611	9.63537006882003	7.3336908589455	3.1239787581796308	14.25054479228511	11.70758137037712	6.307197762154133	14.27665687023529	0.6263511204749305	2.3385601598014354	1
70000	-7402.758003883127	-7079.40765973918	-323.35034414394596	-7079.40765973918	1.7585168512787417	1.6232784971372693	1.0	0.3909404043377385	1.0454582538331532	0.21273901177065838	0.406555471230577	-112.4830972795426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.042626172986324	18.03214323062039	5.490886802777027	53.45974788157935	6.87827619783931	9.286338000268746	4.165687501845638	18.325965776218695	6.1745534846525505	14.68561410339096	35.08266258270529	45.51532197652826	4.896579498218301	2.7691596257073874	5.923309772654023	2.0542112876381617	1.381584296744761	9.435511399663062	7.5676100253799525	0.3206209817890942	13.196414935195916	0.8422235015994912	29.469646078602917	11.808252838468812	15.34244541421098	4.184454104163464	13.773873836612163	70.04881217740459	37.393463143698305	22.47099730354645	23.353994772766246	14.282759179231075	4.512220473146404	1.1539858884630574	1.152844860234178	2.789331506322142	1.6570255727181629	14.902634604521333	0.31018385026872775	15.59269013972489	67.23283150199319	6.070375845432083	21.437966886837795	1.7935929134111699	6.636006225236713	6.562153130781662	12.166925820958921	6.501364730625554	3.944759520967482	17.994671731089888	7.63935296400335	7.964323815498776	18.02764438426062	1.145793013945507	2.952983413084242	1
80000	-7359.509866646831	-7069.634160044504	-289.8757066023273	-7069.634160044504	1.5976728012773924	1.2542346363053771	1.0	0.4240580908493449	1.005862493589494	0.27608862184400274	0.5054302223373804	-121.59646134541046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.489428952731652	17.83882190985736	2.05733802839787	4.915002433342345	3.034542874724137	4.096926322884168	18.164380858999845	8.08500956767803	2.0764620485791174	20.78720338511772	15.477692477679497	6.531641727236028	2.8240162199826018	1.2216917974017698	2.613232872363792	0.9062724506524547	0.6095243434444471	1.534201113396947	9.306365046416026	0.14145086469205542	16.508630704403686	0.08801608738217674	13.00135411203152	5.2095392047752895	11.92691739829153	1.4143801124301627	5.164287946932479	11.346956452102908	16.49716642370578	9.91370552651588	2.3014579002972306	1.2945937941260706	1.9561653492719995	0.9447697428932841	20.58253636949432	1.7951026328407773	1.4210961433886886	1.7906454957962565	14.310233109299395	2.4890255655600386	29.66163380382886	2.6781151612434533	9.457955422822558	0.7912934053531199	2.9276587371909923	2.8950763902324153	3.5375878302269443	13.255765801202575	8.12101836115987	2.1076477827441935	3.3703130606621015	3.51368299137356	7.953396787338011	1.1376640177959747	2.499264275616089	1
90000	-7336.02610349692	-7076.679784132866	-259.3463193640535	-7076.679784132866	1.0919766229840708	1.253505257405598	1.0	0.4138247171759849	1.0016516857451379	0.17322793448175314	0.4167047883864795	-113.26037302627564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.558439228006072	21.538401445826576	1.3534410215760992	3.233384996831163	4.430596096698439	12.639877091441006	0.6918993400466653	2.082778390205809	1.3660219553135187	13.675075946159941	3.6871164227215663	0.17396438145604637	1.857808170054182	0.8037025376983026	1.719142172831259	9.614561026752382	0.853865592084283	1.3452626907188516	3.228707204970949	4.639775123755825	2.218193951110016	0.8008214150391582	8.55307477350413	0.04608177635179018	1.1435636986503432	3.8970916765655255	3.397380040679299	6.444290224964301	20.540771441179345	3.0485468761992682	1.5140377948092227	2.0585709406407657	3.5308337727032857	5.272777051529867	13.54043364096522	1.1809267644354788	0.9348827414441191	3.8214478055591194	1.6819169799611235	0.8451824716451442	3.2550836962309657	1.7618256551425584	6.222013433278451	3.374604253151715	1.9259904679716902	3.9230484691696037	2.3272386067670494	0.6618170176015297	0.0709672798495631	5.225718931445446	9.796200447915082	2.311512562202788	1.0160254949304701	0.7484239970303886	5.776939710815055	3
