#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Pro" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Pro" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Pro" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Pro" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Pro">
#                    <taxonset id="TaxonSet.Pro" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Pro" jeffreys="true" parameter="@bPopSizes.t:Pro" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Pro" name="distribution">
#            <parameter id="gammaShape.s:Pro" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Pro" name="distribution">
#            <parameter id="ucldStdev.c:Pro" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Pro" id="treeLikelihood.Pro" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Pro">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Pro" shape="@gammaShape.s:Pro" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Pro" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Pro" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Pro" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Pro" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Pro">
#                <LogNormal S="@ucldStdev.c:Pro" id="LogNormalDistributionModel.c:Pro" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="106" id="rateCategories.c:Pro" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Pro" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-16997.425790474168	-16648.601839143506	-348.8239513306635	-16648.601839143506	3.50216797637028	1.0	1.0	0.1	1.0237527103676674	0.012084522320442352	0.11041304817113319	-314.94245921218214	380.0	380.0	380.0	380.0	380.0	12	11	11	10	9
10000	-6943.00054615886	-6813.618821136927	-129.38172502193305	-6813.618821136927	1.3321683062380443	0.7372961442669406	1.0	0.6025682831237363	0.9221261286977336	0.24381571674048186	0.5314545703437128	-113.69339316436081	31.05008774812889	3.6129234076096077	5.0601155050638145	1.3296247213195866	2.3745089440946674	4	22	3	21	3
20000	-6846.393296154634	-6732.383311813782	-114.00998434085217	-6732.383311813782	1.0965187297915573	0.730743073938177	1.0	0.5333605417419909	1.034980289211413	0.2880208587220764	0.5453676072120455	-99.54347461943598	53.437538857253095	3.687269841243876	3.0045380138527626	1.0146412790571466	1.0669383016281737	4	19	5	24	1
30000	-6829.577146060387	-6724.3828083831295	-105.19433767725765	-6724.3828083831295	1.2015869332990274	0.8595584668159948	1.0	0.4038963236971148	1.0705998259580858	0.16893585922834256	0.3963334340914907	-91.53766002818429	46.365511221165185	16.5032463128009	2.506432528014295	0.5372723456927622	0.36618997121229074	4	9	23	15	2
40000	-6842.751773023942	-6715.332243974139	-127.41952904980381	-6715.332243974139	1.4962122189109166	0.8595584668159948	1.0	0.5495113630939855	0.9776918803133762	0.32355466921957415	0.5604519023953736	-107.39921999480994	320.6824445385578	35.68501367464786	4.198526184055725	1.2219421184348143	0.9138118750103597	1	10	19	13	10
50000	-6824.918316434979	-6713.890921522425	-111.02739491255397	-6713.890921522425	1.7313534858176287	0.9680902296347385	1.0	0.4043149093459103	0.9113674372269507	0.12312135280283946	0.34945822947898975	-94.57014788397561	62.6964631518672	19.54248312523153	6.9658513854398825	1.1143060752146152	0.826726751813129	4	5	3	23	18
60000	-6828.9016516913725	-6715.3951207462	-113.50653094517298	-6715.3951207462	1.2839590326646324	0.9343584745059952	1.0	0.5113841315201131	1.0020388178630872	0.21533021815571793	0.4537698016690261	-97.25657762355335	35.40922838652113	21.01912077512274	2.911815998922385	2.849733949295491	0.855513471226138	6	1	21	1	24
70000	-6823.15122851536	-6709.020254597892	-114.13097391746845	-6709.020254597892	1.202583987525447	0.9343584745059952	1.0	0.41036805945486377	0.9651056348018158	0.18940807399005571	0.44051204160547147	-98.65586977377623	31.74986056191484	2.4209147857235678	3.501780122431351	4.79289916267988	1.8482933434622015	7	3	12	1	30
80000	-6833.225449163733	-6717.818391526463	-115.40705763727034	-6717.818391526463	1.369705884953732	0.7019043366505878	1.0	0.3784866648285554	0.938020098418418	0.11467853836978291	0.35573756967127207	-99.36988845986703	49.78446977188417	21.716279173379654	3.842796607232898	2.392054448243248	1.1126850107292032	1	3	8	24	17
90000	-6820.949443944926	-6706.946329642597	-114.00311430232851	-6706.946329642597	1.5980493857956444	0.800145916429599	1.0	0.42492799759607525	1.0029893227103301	0.18251324711842143	0.4186831542387843	-94.77040753855277	147.37440865959758	36.7686802373449	12.208463163426423	1.2068989547411888	0.9339656306812839	1	7	2	42	1
100000	-6836.802984640158	-6717.170283947661	-119.63270069249644	-6717.170283947661	2.8836672008859354	0.937101272101082	1.0	0.42470595167466774	0.8956771437925161	0.16599393698643186	0.41438181456993584	-106.41023836808212	29.575787014755154	4.020407098185018	1.2706475040810974	1.2710632720922364	1.8959893661418803	10	11	7	20	5
110000	-6812.0379699490495	-6696.442511895009	-115.59545805404038	-6696.442511895009	1.355128567266016	0.8015088704288693	1.0	0.4678957878045874	0.9862291944499677	0.23826488763174544	0.490915793690479	-104.0522722087948	14.453291730787551	1.686374297278238	2.9353210832359586	1.0867232847962673	0.6904592187131936	15	7	5	17	9
120000	-6822.83442406816	-6707.569305767027	-115.26511830113328	-6707.569305767027	1.6956086943338389	0.8015088704288693	1.0	0.35953956489303207	0.9833708218884899	0.17808201341034977	0.40714475865487587	-102.44453395430833	21.74177637287809	12.701438021168954	2.0374982386034537	0.5023848945788731	0.9319171402011236	4	7	21	3	18
130000	-6827.779514874462	-6705.754193093862	-122.02532178059946	-6705.754193093862	1.3380072696094605	0.881841127850588	1.0	0.3573344234010236	0.9514519893315827	0.15999101841934282	0.4135554336554543	-105.4540492227738	27.095580216992932	55.21320273390868	2.527810718112528	0.8789701811692716	1.2385862244432257	11	1	12	4	25
140000	-6796.937727797703	-6702.63069048703	-94.3070373106733	-6702.63069048703	0.8481705468211163	0.9863602453638065	1.0	0.34488780765878285	1.0477889006427024	0.1691892745645876	0.39305504153565235	-82.30031626662547	30.371072770972514	1.8846005782881052	1.1165212696086653	1.5749527947268458	0.8477425434019105	6	6	1	18	22
150000	-6817.265003196096	-6705.994548645499	-111.27045455059653	-6705.994548645499	1.2428608922317088	0.9863602453638065	1.0	0.39254655925134013	1.0260289616810496	0.16742138334796594	0.40048561699604734	-95.98884949194509	26.61240587966148	25.265028755199587	6.028005747664202	1.2783658181669124	0.6197292143254047	5	3	5	25	15
160000	-6799.419177607662	-6694.396730418811	-105.02244718885146	-6694.396730418811	1.219461135002117	0.7946624371868731	1.0	0.4662134916542833	0.9197978332387068	0.18090851172039918	0.4439031140074113	-88.14517149598278	227.36849753377464	14.168333558291332	0.9884188892291231	1.211214618053553	0.2333612007109092	1	11	22	16	3
170000	-6811.290404937609	-6708.850012470502	-102.44039246710649	-6708.850012470502	1.266548355803638	0.7946624371868731	1.0	0.33587200038067405	0.9326992580666283	0.11540006719060558	0.35243032216770787	-88.79159412797051	33.3151036983544	0.5787685581038554	1.4647637256919552	2.54218695897526	1.1043785262955383	7	9	18	7	12
180000	-6827.544659284284	-6712.648169807769	-114.89648947651521	-6712.648169807769	0.9983986505167372	0.9174978023404168	1.0	0.33039143912077557	1.0088370444338552	0.11442002883208285	0.3331544072688101	-105.01715963971837	17.886114430533993	2.2658696372445477	0.9525311617480995	1.1075162279403594	0.30835711784264425	7	31	11	2	2
190000	-6813.407104768507	-6705.009498859339	-108.39760590916808	-6705.009498859339	1.0617185350325309	0.6829792518437005	1.0	0.3407204391299336	1.0581959435167942	0.13938886637261008	0.35977663899021034	-95.37981826924495	21.107318964013345	7.394023714068733	5.4290226699840085	1.3731994591913537	0.7046527281746312	4	9	8	28	4
200000	-6813.620506017674	-6709.442271275808	-104.17823474186636	-6709.442271275808	1.407827025731052	0.8168334278135139	1.0	0.37738188627105573	1.0670603831193077	0.18455247421494367	0.4099646476022121	-90.83903530546368	23.861309919558273	19.877346720674502	1.1718989588551543	1.0422130884107441	0.7176247014278909	4	4	6	27	12
210000	-6822.632181520664	-6704.154135192744	-118.47804632791957	-6704.154135192744	1.1983206878902395	0.823367420042135	1.0	0.46151917491860944	1.0249167254346865	0.1982934901151844	0.4368618943297006	-101.17222634903959	66.02049958515691	21.653081002035023	7.51973327042862	1.959185135035162	1.117000005219715	6	2	4	12	29
220000	-6809.873027612419	-6697.765548645238	-112.10747896718073	-6697.765548645238	1.1339514482706154	0.8347609913399283	1.0	0.47580436779113927	0.9993357358860234	0.2526061240958187	0.5022211307714595	-95.4331836769372	57.3237125027543	45.38832971984163	2.6625770110093274	0.9924521120027258	0.842707165427885	5	1	24	12	11
230000	-6819.544480963573	-6713.5333608896	-106.01112007397252	-6713.5333608896	1.697675284247672	0.8237081293128788	1.0	0.4091801102192974	0.9697293072849524	0.1762471940144145	0.42726043386125456	-87.9266151311498	172.98823977236665	47.58691912957694	1.9627899431041598	0.6991007894217498	1.0234537897355445	1	2	33	11	6
240000	-6819.734087264999	-6703.581919355015	-116.15216790998412	-6703.581919355015	1.7418146281850315	0.8237081293128788	1.0	0.40127746677347603	0.9595740914544298	0.15256112995007906	0.40710405725878934	-101.22033115001746	84.04506360470593	5.761331910647923	2.670377763933085	0.7878710106349371	1.0353556692445651	3	5	23	2	20
250000	-6828.3719438118815	-6711.8377772649665	-116.53416654691496	-6711.8377772649665	1.6648072267586609	0.8237081293128788	1.0	0.40019425173527545	0.9920703876170034	0.18518929636092957	0.4185864487814112	-100.96525696182928	30.435062578202455	18.900914757874478	6.535897038262651	2.0830769795206576	0.985181580743232	3	2	13	5	30
260000	-6827.060643237579	-6705.496947039051	-121.56369619852812	-6705.496947039051	1.6365207936544397	0.8428733738334839	1.0	0.4451091955003642	0.9215663650615344	0.22068415988429352	0.4935686168529826	-105.94425744489811	84.83043592615226	10.997309318483623	3.2341098532224866	1.2004348580475082	0.6896770854403343	1	15	3	22	12
270000	-6809.6442042227945	-6696.539630833556	-113.10457338923882	-6696.539630833556	1.2172263496113551	0.9034257698429796	1.0	0.45105403412348993	1.0342693216419963	0.19417233090222252	0.4372944648956887	-97.54388934941174	85.59486942050525	8.963415396274316	1.736017648089894	1.8462602523479148	0.4519266671056237	1	10	7	25	10
