#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Pro_ArchEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Pro_ArchEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Pro_ArchEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Pro_ArchEuk">
#                <taxonset id="TaxonSet.Pro_ArchEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Pro_ArchEuk" name="distribution" x="@birthRate2.t:Pro_ArchEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Pro_ArchEuk" name="distribution">
#            <parameter id="gammaShape.s:Pro_ArchEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Pro_ArchEuk" name="distribution" x="@relativeDeathRate2.t:Pro_ArchEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Pro_ArchEuk" name="distribution">
#            <parameter id="ucldStdev.c:Pro_ArchEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Pro_ArchEuk" id="treeLikelihood.Pro_ArchEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Pro_ArchEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Pro_ArchEuk" shape="@gammaShape.s:Pro_ArchEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Pro_ArchEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Pro_ArchEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Pro_ArchEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Pro_ArchEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Pro_ArchEuk">
#                <LogNormal S="@ucldStdev.c:Pro_ArchEuk" id="LogNormalDistributionModel.c:Pro_ArchEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="64" id="rateCategories.c:Pro_ArchEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Pro_ArchEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-8753.49010848755	-8757.525337364596	4.035228877046532	-8757.525337364596	0.9418421058883356	1.0	1.0	0.1	0.9867597515782355	0.013151430182236216	0.11514640745282152	11.123620010907867	1.0	0.5
10000	-4421.35431177825	-4408.555864889915	-12.798446888335006	-4408.555864889915	1.2297332702282413	0.9027928490939117	1.0	0.469576108451553	1.0153302669411595	0.22659511025841925	0.44655194891598315	-4.127450490895895	2.175925047268858	0.07580985184220058
20000	-4356.825441421778	-4341.900539045987	-14.924902375790708	-4341.900539045987	1.3052007530455862	0.8383715951145672	1.0	0.32986521966343507	1.0482627801372233	0.1384722038364886	0.3647127944812185	-6.846746841822295	1.464205352330081	0.3558931419487388
30000	-4372.096992354622	-4359.274156407001	-12.822835947620563	-4359.274156407001	1.7514812883775641	0.8557470678380228	1.0	0.23122990238182736	0.9774707840951266	0.07089875204897202	0.2598836997827176	-5.149147271401465	1.6486242163090326	0.3822671390374587
40000	-4358.851618812441	-4344.56326585944	-14.288352953001148	-4344.56326585944	1.4685748884094054	0.7695774321290934	1.0	0.5039235730264418	1.0051435424271074	0.3232723419666185	0.5370962469418443	-5.628132018570004	2.3195668585332774	0.05433424959119465
50000	-4357.263508222309	-4343.454453301607	-13.809054920701461	-4343.454453301607	1.2035427211978635	0.7695774321290934	1.0	0.4603269165482835	0.98036239821053	0.23963652665947682	0.5265262975384015	-5.30465177607304	1.8876933644762683	0.1603316826325226
60000	-4368.8405938660335	-4357.065100285552	-11.775493580481045	-4357.065100285552	1.4780588048148449	1.0448850574537896	1.0	0.45935095108118673	1.0383081183786937	0.23226287910258672	0.4758629981947835	-2.999315519587247	2.5688363754111716	0.07461845171538012
70000	-4353.650719650023	-4341.134884105218	-12.515835544805727	-4341.134884105218	1.3229466749736993	0.7931103179799815	1.0	0.397725876706134	1.04471636138551	0.19509125775930367	0.41560045025972325	-4.219117960770621	2.884401477077618	0.024260855582793308
80000	-4362.971803020245	-4343.278819108996	-19.69298391124939	-4343.278819108996	1.8782049677438055	1.1210279126669864	1.0	0.46486667667214293	0.8024040566379234	0.16955095811783816	0.4626768927421086	-10.820724747611676	1.3171461807534643	0.33260210819259173
90000	-4369.295110360424	-4348.194751232589	-21.10035912783512	-4348.194751232589	1.5128464074673749	0.8210308582066436	1.0	0.5600956624074283	0.8794066943105289	0.3674376207835418	0.6441736082971429	-12.192942465189704	1.3767378518948497	0.16630864508881432
100000	-4366.205468846311	-4353.055362360555	-13.150106485756629	-4353.055362360555	1.563026378959401	0.8210308582066436	1.0	0.47047485447299736	0.9594983615382102	0.20993038544922904	0.44472019267606544	-4.557638383671739	2.178258524518205	0.3698550297229475
110000	-4355.516845157618	-4336.277152878846	-19.2396922787724	-4336.277152878846	1.5655769534780892	0.8778703584106947	1.0	0.49127799254597493	0.8642404537604605	0.2154584476565552	0.5083070792378588	-10.515991522886985	1.751112864386463	0.15997221681190318
120000	-4357.889580476942	-4343.717479503176	-14.172100973765513	-4343.717479503176	1.2300561757043635	0.9247840736236519	1.0	0.30398810144145677	0.9955351445176521	0.11054636814372333	0.348921497995581	-6.112904493785498	2.4104002230964823	0.21961353210590062
130000	-4360.783176435806	-4345.576451895804	-15.20672454000194	-4345.576451895804	1.769675021903628	0.8895214430099472	1.0	0.23606626464002728	1.0250873390526922	0.0649107834903201	0.2498916782193126	-7.477067220588173	1.5633537246780922	0.16056867580898762
140000	-4360.39384906237	-4345.531529748767	-14.862319313602558	-4345.531529748767	1.3372749280814091	0.9804027759618789	1.0	0.4700911340315416	0.9715098971286988	0.1679427094230509	0.427643315917364	-6.111859717143398	2.726848769104817	0.25538663899301983
150000	-4363.0746645752315	-4347.680814430232	-15.393850144999297	-4347.680814430232	1.1996247875008132	1.0418507580936451	1.0	0.35196287704685103	0.987426077030078	0.13787103600469156	0.36689474849583253	-7.024499975347755	1.698415384188397	0.2487068700584668
160000	-4362.335256360475	-4344.93237085495	-17.40288550552512	-4344.93237085495	1.6193719473599641	0.6982369677361933	1.0	0.37015268908331145	0.9743274675950835	0.12340184415599761	0.36181986213373146	-9.306319844912204	1.5161896477595473	0.28004547035837374
170000	-4358.7400707720935	-4348.56642382975	-10.173646942342849	-4348.56642382975	1.1494486900470415	1.0557221061992539	1.0	0.32977054706429737	1.0169790551573916	0.11232334099296837	0.3275957326762067	-1.8785209517674488	2.507033882892784	0.08555759135727696
180000	-4361.102830823876	-4348.040685180572	-13.062145643303607	-4348.040685180572	1.388507239530524	0.969319741488633	1.0	0.3473700815195388	0.9986364155457444	0.15181918349967574	0.36321934112114096	-4.7834000073428715	2.058025200034552	0.2180760587457046
190000	-4359.820136992872	-4344.271439518273	-15.548697474598944	-4344.271439518273	1.567693648327119	0.9295238159182047	1.0	0.2837829020344648	0.950869684759963	0.08063578328307328	0.2859071251813896	-7.569334166479973	2.3473573709669773	0.33458734996648926
