#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Thr" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Thr" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Thr" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Thr" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Thr">
#                    <taxonset id="TaxonSet.Thr" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Thr" jeffreys="true" parameter="@bPopSizes.t:Thr" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Thr" name="distribution">
#            <parameter id="gammaShape.s:Thr" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Thr" name="distribution">
#            <parameter id="ucldStdev.c:Thr" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Thr" id="treeLikelihood.Thr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Thr">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Thr" shape="@gammaShape.s:Thr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Thr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Thr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Thr" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Thr" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Thr">
#                <LogNormal S="@ucldStdev.c:Thr" id="LogNormalDistributionModel.c:Thr" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Thr" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Thr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-15580.190638064401	-15225.38420060837	-354.80643745603135	-15225.38420060837	2.512877166909618	1.0	1.0	0.1	1.0260858585918897	0.010884934145392508	0.10480918821679233	-320.92494533755	380.0	380.0	380.0	380.0	380.0	11	11	11	11	10
10000	-6984.376759033571	-6839.113172999959	-145.2635860336121	-6839.113172999959	1.8923650418621907	0.5548392580676278	1.0	0.7493311553176295	0.9525650686372109	0.8521958055615406	0.8889275569341749	-128.1833393459215	30.15970863565252	12.862278826071957	8.680616143696245	3.588102890615173	1.4227511698631348	6	12	6	8	22
20000	-6736.843869806175	-6593.992821602329	-142.8510482038459	-6593.992821602329	2.066664967253377	0.7890133231120222	1.0	0.5604407567074807	0.9960985222866073	0.36711156858950567	0.5786198406432548	-127.45934979994772	25.389198938235268	11.612275624402052	7.093573603189872	2.0634631432086445	0.9480597915903813	6	14	7	15	12
30000	-6660.791942212947	-6522.5230878160455	-138.26885439690128	-6522.5230878160455	1.7672998711076986	0.7890133231120222	1.0	0.5186870601020759	1.0656001336162597	0.3964135932509382	0.588371094997751	-122.18080668804163	19.917958096071278	24.97525943445456	6.156726668360728	2.6661733250452087	0.8835827090453308	8	4	6	24	12
40000	-6686.729287954803	-6532.873051784967	-153.8562361698363	-6532.873051784967	1.784269721063819	0.72483611284546	1.0	0.42817754608737707	0.9383422969632388	0.16275359724977376	0.4151109741839392	-136.21700987634156	43.12433030925852	12.672554918030997	14.494669404079682	3.3263282492100017	1.9773027905701253	8	12	1	19	14
50000	-6676.384951031155	-6539.378913160971	-137.00603787018366	-6539.378913160971	2.4960827618415165	0.72483611284546	1.0	0.40361316494628946	0.9805217873669837	0.18189013908606225	0.4164280876173896	-124.20684537512862	32.87687883748448	4.55579307987641	1.6050294439214037	0.8774821956759934	1.3814700557810848	5	32	9	6	2
60000	-6661.7976709179275	-6512.345598693458	-149.45207222447016	-6512.345598693458	2.270324869307458	0.72483611284546	1.0	0.4319022483393481	1.0217227689244908	0.20435833619932983	0.42642281355532413	-136.66116453046337	25.43140100334315	7.23670403623941	1.4789314420079271	1.2936221154492893	1.1374181883950452	13	18	5	14	4
70000	-6656.732473022529	-6529.458757266527	-127.27371575600235	-6529.458757266527	1.7237158591118071	0.8459597118867087	1.0	0.49466773709268114	0.9731101561728082	0.2214878144559953	0.47066425388139693	-114.84814113860372	17.50159257331885	4.137619760772069	4.0484088980607575	1.133405937508878	0.5286501367515039	7	27	3	12	5
80000	-6673.643718874921	-6528.846289468721	-144.79742940620068	-6528.846289468721	2.152708436300385	0.736648946309567	1.0	0.324536913797579	1.0128933459553724	0.11983742477907398	0.3296978287311199	-131.28583611385943	24.677130036039657	5.006802642115942	4.044114417953046	2.7434177547938328	0.9502036133195773	6	30	7	6	5
90000	-6646.917950329542	-6515.136069154045	-131.78188117549715	-6515.136069154045	1.562450774876383	0.757669515531172	1.0	0.43294096530268633	1.0375355584749457	0.19691354971843472	0.41224159571040164	-118.63704742042044	23.416150566244276	2.5660863127953437	2.036944967032729	2.9638956921382316	0.7540247000935763	6	1	3	35	9
100000	-6676.722152343262	-6517.313498142681	-159.40865420058057	-6517.313498142681	2.440917478122224	0.757669515531172	1.0	0.4063788947876595	0.9608051160140202	0.14670412800055443	0.3888845468016397	-144.0249726677141	28.657755450643705	6.139472666766898	5.02968072697608	2.217520342688037	3.5167702316218756	5	11	22	1	15
110000	-6695.350852847207	-6520.601502477887	-174.74935036931907	-6520.601502477887	3.660801093913387	0.6766309251886354	1.0	0.6015419972175492	0.9006856686241368	0.32420438614237435	0.5932759467253953	-156.1057166338006	28.356284822427163	29.927284406738842	10.317422787853216	5.9952492026809585	2.7127118389713165	3	3	28	8	12
120000	-6673.960052790041	-6512.145242271336	-161.81481051870466	-6512.145242271336	2.3856931143821782	0.7076089106776435	1.0	0.47805887554429816	0.9074728348365703	0.18311195223258953	0.4617792609425776	-145.67079010144883	19.921091768863388	14.943201188456891	7.979548910446215	5.134624931266201	1.1153464181674675	2	5	14	24	9
130000	-6684.505718794001	-6530.869759581218	-153.63595921278275	-6530.869759581218	2.964652151251959	0.7076089106776435	1.0	0.3290874344711018	0.9490507048440873	0.0675912173265391	0.2636267088989648	-137.94496988337406	40.2057298297033	6.740874196820049	3.6024213021980382	5.287687270903259	1.2763975892807755	9	1	2	29	13
140000	-6665.09661001114	-6513.072024326528	-152.02458568461216	-6513.072024326528	3.1976149967641385	0.6941874871397925	1.0	0.5152579140281363	0.8629385492525105	0.20729556419685402	0.48013834834643637	-136.86048119507424	30.304012805020157	5.182780442699997	4.017557953000435	2.5378910697609607	2.7391439570687686	6	17	9	5	17
150000	-6669.691819186715	-6501.083066621695	-168.60875256501987	-6501.083066621695	3.8303885006510265	0.6941874871397925	1.0	0.5802077128709038	0.8201829950693692	0.23815325577823857	0.5537508899750356	-150.41262703065783	28.865740614658637	7.899912949931719	1.0482138774587135	4.800770568843857	4.128939068570657	7	18	6	7	16
160000	-6657.037361950457	-6514.306907459284	-142.7304544911732	-6514.306907459284	1.8378055740190369	0.7337032741116705	1.0	0.4751167055774539	1.0756058640687787	0.27493777744989883	0.5010957948664958	-127.65270992032589	17.656317513266192	20.087511138296268	5.948198996167697	2.4441321615652813	0.4886009842678309	10	3	17	15	9
170000	-6674.30147364535	-6524.02924816389	-150.27222548145966	-6524.02924816389	2.238429765771958	0.7553970918501626	1.0	0.3749008826629162	0.9833829564081239	0.162240639731339	0.40919498707279806	-134.6564454860342	49.786328992854315	13.582494282783397	2.9175714628273015	2.8032796954622747	1.0575593962477878	7	11	5	22	9
