#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Trp" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Trp" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Trp" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Trp" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Trp">
#                    <taxonset id="TaxonSet.Trp" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Trp" jeffreys="true" parameter="@bPopSizes.t:Trp" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Trp" name="distribution">
#            <parameter id="gammaShape.s:Trp" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Trp" name="distribution">
#            <parameter id="ucldStdev.c:Trp" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Trp" id="treeLikelihood.Trp" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Trp">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Trp" shape="@gammaShape.s:Trp" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Trp" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Trp" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Trp" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Trp" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Trp">
#                <LogNormal S="@ucldStdev.c:Trp" id="LogNormalDistributionModel.c:Trp" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="110" id="rateCategories.c:Trp" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Trp" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-16764.963379109948	-16404.229471832165	-360.73390727778417	-16404.229471832165	1.5690907880004688	1.0	1.0	0.1	0.9895438424662351	0.009540859522744072	0.09691623904575244	-326.85241515930284	380.0	380.0	380.0	380.0	380.0	11	11	11	11	11
10000	-7157.036587746777	-6986.716890454686	-170.3196972920909	-6986.716890454686	2.4628191822051866	1.0940611199948627	1.0	1.0669597605862593	0.7503477950245825	1.4517679034726965	1.2034975297130017	-150.4857803774048	21.864719318288746	14.440348144468604	7.156082817311433	10.48461632091811	1.6619815399819824	13	7	19	1	15
20000	-7061.510543733484	-6890.464269220124	-171.0462745133602	-6890.464269220124	2.2293626151217683	1.0017570004760736	1.0	1.0293654857350227	0.6754653176180049	0.6543656095407182	0.9987578236940748	-153.89719628034499	22.940717689435296	4.147770061538795	5.0360493460319224	5.06329313748058	0.6699269141823007	16	5	18	10	6
30000	-7008.233332949308	-6854.594171697196	-153.63916125211222	-6854.594171697196	2.200376650867693	1.0017570004760736	1.0	0.8933482657673996	0.7330250682200078	0.6079581262799504	0.8762021886141202	-139.31766221866073	18.98006614249967	4.206561145946202	3.6387403303677894	1.9188018498340573	0.3315944654180814	14	3	34	1	3
40000	-6986.741318360347	-6843.3905641253095	-143.35075423503685	-6843.3905641253095	1.5893508087090251	0.9205370442937608	1.0	0.803864722439334	0.8690262367623718	0.47100724867826554	0.7331592400070287	-127.27476865246335	15.768237703868072	19.84901088581498	6.674716445385542	1.5286421413907514	0.7967456253612621	5	10	13	13	14
50000	-6964.733172947048	-6829.8278046823525	-134.90536826469545	-6829.8278046823525	1.526059800450101	1.1023526983617904	1.0	0.6176476365485222	0.935745564769968	0.43131802263927294	0.6543515526486586	-120.93143780466228	18.29159619093537	4.309403594675471	2.19505983322641	2.9319757106431616	0.8238029603228463	14	4	29	1	7
60000	-6942.718863853261	-6812.467242625073	-130.2516212281878	-6812.467242625073	1.496205795498661	0.9160644794492216	1.0	0.6793208509692458	0.9375229801040272	0.7615150781753475	0.834847027419073	-118.25416665221891	14.595376508172873	3.813616423986768	3.080515184226214	0.7594697729655244	0.4831541735008795	14	3	11	24	3
70000	-6896.385131935681	-6767.06927531857	-129.3158566171101	-6767.06927531857	1.2378285531119322	1.0772704038526764	1.0	0.654314397266909	0.8777447941640347	0.48007340147003374	0.6777786878039478	-118.48682212273009	18.63648440136703	2.8437119798264376	1.5534066022351274	0.5585287986797848	0.24747658939655448	19	11	16	7	2
80000	-6892.793162457581	-6758.871274038156	-133.9218884194248	-6758.871274038156	1.5504727482452436	0.9125699619010064	1.0	0.7258163369989648	0.8507007468583603	0.5801245829603712	0.7361997250417441	-121.104874471753	23.23026399882137	2.727425633960473	1.9351517834540155	0.9531165500991251	0.9022729331567699	21	1	19	12	2
90000	-6922.047759168036	-6786.188395340278	-135.8593638277584	-6786.188395340278	1.5701681577045357	1.0285635635265307	1.0	0.6422095178361804	0.7831655035659955	0.2605662761571379	0.5807074312127385	-123.00242781399501	13.704672718361492	4.1165353755368495	4.40459429676171	0.6984113809247362	0.7463505225147445	17	13	3	9	13
100000	-6928.6844692777495	-6770.505064201363	-158.17940507638627	-6770.505064201363	2.6355424440478092	1.0285635635265307	1.0	0.7179154184909695	0.7175189429848031	0.439115405695705	0.7434791216853861	-141.63735858258505	41.835657514502365	9.64238859326554	5.145021015604153	1.3641681727460258	1.4949388531701207	5	18	6	5	21
110000	-6913.977229713857	-6769.966037941102	-144.01119177275496	-6769.966037941102	1.9142839792260076	0.8833648012492936	1.0	0.5603586354499044	0.8560217152004038	0.2615397621815257	0.5470005710422517	-127.76509404151338	34.5535234267874	2.9969645693205056	6.671929129417373	2.9789095714942553	0.7496886175387831	8	4	16	13	14
120000	-6902.513981010305	-6758.692948746745	-143.82103226355915	-6758.692948746745	1.6821509151027685	1.1191921208793185	1.0	0.5759837533356262	0.8721340591753359	0.27982583805448863	0.5512286376932738	-127.75696080923989	26.55566472334168	9.983766567031882	8.333663242503073	2.1277915789474293	1.0871547327340714	11	7	12	9	16
130000	-6910.683793520976	-6762.533810358856	-148.14998316212032	-6762.533810358856	1.4954369031047368	1.1191921208793185	1.0	0.6741219441207178	0.8621582421053614	0.39783404200599715	0.634167887961001	-130.6059328352777	29.347519461408552	6.385476530427604	9.431178246886978	4.928934057715743	0.9541220927927383	1	4	10	26	14
140000	-6918.843051683215	-6770.897411802072	-147.94563988114228	-6770.897411802072	1.9211499683471587	1.1296052579384823	1.0	0.5806406973460522	0.8433678646297326	0.32863868466204815	0.6140277223745569	-129.9697142367776	28.826429978074092	4.68584233629774	10.906395540713254	5.350480937617207	1.5141002329832245	9	2	5	14	25
150000	-6924.696132033041	-6773.302528911545	-151.39360312149645	-6773.302528911545	1.5633593009928624	1.151420814544876	1.0	0.5160558033115238	0.8879304642507917	0.2970109514613205	0.5437310026128215	-135.71040173426988	11.61311793844932	12.076315015488369	10.082647042167514	3.396382656313536	1.241299317025131	14	3	13	6	19
