#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Tyr" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Tyr" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Tyr" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Tyr" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Tyr">
#                    <taxonset id="TaxonSet.Tyr" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Tyr" jeffreys="true" parameter="@bPopSizes.t:Tyr" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Tyr" name="distribution">
#            <parameter id="gammaShape.s:Tyr" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Tyr" name="distribution">
#            <parameter id="ucldStdev.c:Tyr" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Tyr" id="treeLikelihood.Tyr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Tyr">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Tyr" shape="@gammaShape.s:Tyr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Tyr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Tyr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Tyr" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Tyr" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Tyr">
#                <LogNormal S="@ucldStdev.c:Tyr" id="LogNormalDistributionModel.c:Tyr" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="106" id="rateCategories.c:Tyr" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Tyr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-15965.724150147706	-15616.852519377537	-348.8716307701688	-15616.852519377537	2.7019550942642354	1.0	1.0	0.1	1.022448839062402	0.00817239107397522	0.09136089769065563	-314.99013865168746	380.0	380.0	380.0	380.0	380.0	11	11	11	10	10
10000	-7771.167331718353	-7587.4673912784	-183.69994043995288	-7587.4673912784	2.0964398239089657	1.2140678535025318	1.0	1.0363142778357286	0.6693076545341516	0.7922965609087843	1.0272502682400835	-161.4954936669868	36.94877581797352	27.73974362246122	24.197178667329347	8.250367540213105	3.9522551501654277	9	2	3	17	22
20000	-7398.674030518055	-7233.684473427821	-164.98955709023375	-7233.684473427821	1.8888441612813796	1.0173291577093766	1.0	0.7617365732130776	0.827989613158101	0.5649330754105859	0.7582650897420832	-145.95794817188911	18.31624353751424	8.910492020691747	4.085989473242108	12.782166747113335	1.7170680509153176	15	7	11	2	18
30000	-7225.591242325513	-7090.799822244994	-134.79142008051912	-7090.799822244994	1.7063909625090792	1.1218190532881507	1.0	0.42223923504984656	0.9131531422777847	0.1722929014153867	0.4247624302080201	-124.45211862828386	9.72301239653649	4.456233214635317	1.6166128976597205	0.8938727609852449	0.6654409901950363	18	7	11	15	2
40000	-7223.426212497175	-7082.0351328905945	-141.39107960658058	-7082.0351328905945	1.7229251827496346	1.1218190532881507	1.0	0.40395978059275117	0.9301874154840027	0.1592200858473268	0.39981509530673986	-124.78189359230541	28.250541071357375	11.397661013558922	12.473634098089786	1.8589089823046194	1.7881062948423807	3	16	3	13	18
50000	-7220.300674773163	-7082.355517291262	-137.9451574819009	-7082.355517291262	1.5194918241507491	1.193034716656668	1.0	0.4614537113976205	1.0160290919553479	0.17594364219319333	0.404362936190326	-116.54457275522985	551.5561305109422	4.470933547165618	8.57767247504151	1.3324778643063337	0.9795388899685431	2	2	19	6	24
60000	-7209.232776190021	-7070.454009270708	-138.77876691931186	-7070.454009270708	1.8301020880512144	1.4045001229521714	1.0	0.5031966456438205	0.9029377903334325	0.2293833640084973	0.5063167676111983	-124.27573749802221	17.425268391331777	3.865066736238534	5.294754033013292	2.3381730106931595	1.1714044422759444	10	6	9	25	3
70000	-7219.97116309293	-7078.297470679079	-141.6736924138501	-7078.297470679079	2.5085538619966234	1.2860414651869498	1.0	0.3486211744220314	0.9087555361211489	0.14737826891588934	0.3821539064812639	-125.13977531756431	20.09021177122714	12.927763688469236	9.278016979184809	5.964770957173419	1.5738204458873837	4	4	11	12	22
80000	-7204.112747683372	-7078.69131535686	-125.42143232651178	-7078.69131535686	1.5625991527853758	1.2406958016768348	1.0	0.3592342245279207	1.0272831824500213	0.10390937963000559	0.3154542244105577	-115.6366894204538	21.40721362712455	3.365476928822967	1.8231612105724821	0.3249519723092663	0.13035660697845433	10	25	16	1	1
90000	-7208.133801713169	-7074.100770860588	-134.03303085258065	-7074.100770860588	1.703225905980624	1.305374167206687	1.0	0.44779803238386273	0.9186550216360129	0.21491547934509808	0.4674465829859992	-115.1398935591937	82.47588553408035	14.07310715246719	6.19240269379212	1.0029793688634063	2.7461667403917986	1	8	20	18	6
